Modelo,Accuracy,Precision,Recall,F1-score,ROC AUC
Baseline,0.7350993377483444,0.0,0.0,0.0,0.5
Regressão Logística,0.8070009460737938,0.6557377049180327,0.5714285714285714,0.6106870229007634,0.8503378378378379
Random Forest,0.7795648060548723,0.6044444444444445,0.4857142857142857,0.5386138613861386,0.8224145063430779
Random Forest regularizado,0.7615894039735099,0.5339805825242718,0.7857142857142857,0.6358381502890174,0.8496759514616657
"Rede Neural — threshold 0,50",0.7975402081362346,0.6341463414634146,0.5571428571428572,0.5931558935361216,0.8468031807317521
Rede Neural — threshold 0.35,0.7776726584673604,0.5641025641025641,0.7071428571428572,0.6275752773375595,0.8468031807317521
Gradient Boosting,0.8032166508987701,0.6651376146788991,0.5178571428571429,0.5823293172690763,0.85259009009009
XGBoost,0.7455061494796594,0.5125284738041003,0.8035714285714286,0.6258692628650904,0.8534289391432249
