Threshold,Clientes abordados,Churns reais alcançados,Retidos estimados,Custo total,Receita preservada,Resultado líquido,ROI
0.1,695,270,81.0,17375.0,48600.0,31225.0,1.7971223021582734
0.15000000000000002,563,257,77.1,14075.0,46260.0,32185.0,2.286678507992895
0.20000000000000004,518,246,73.8,12950.0,44280.0,31330.0,2.4193050193050194
0.25000000000000006,467,236,70.8,11675.0,42480.0,30805.0,2.638543897216274
0.30000000000000004,404,218,65.39999999999999,10100.0,39239.99999999999,29139.999999999993,2.8851485148514846
0.3500000000000001,343,201,60.3,8575.0,36180.0,27605.0,3.2192419825072887
0.40000000000000013,300,182,54.6,7500.0,32760.0,25260.0,3.368
0.45000000000000007,262,165,49.5,6550.0,29700.0,23150.0,3.5343511450381677
0.5000000000000001,219,146,43.8,5475.0,26280.0,20805.0,3.8
0.5500000000000002,164,118,35.4,4100.0,21240.0,17140.0,4.180487804878049
0.6000000000000002,120,90,27.0,3000.0,16200.0,13200.0,4.4
0.6500000000000001,95,74,22.2,2375.0,13320.0,10945.0,4.608421052631579
0.7000000000000002,79,64,19.2,1975.0,11520.0,9545.0,4.832911392405063
0.7500000000000002,68,56,16.8,1700.0,10080.0,8380.0,4.929411764705883
0.8000000000000002,56,46,13.799999999999999,1400.0,8280.0,6880.0,4.914285714285715
0.8500000000000002,47,39,11.7,1175.0,7020.0,5845.0,4.974468085106383
0.9000000000000002,20,18,5.3999999999999995,500.0,3239.9999999999995,2739.9999999999995,5.479999999999999
