Modelo,Brier Score,Log Loss,ROC AUC
Gradient Boosting,0.13275482417099413,0.4072675089454965,0.85259009009009
Regressão Logística,0.13542147518533607,0.40977796098907787,0.8503378378378379
Rede Neural,0.13697992125720795,0.4143707868928726,0.8468031807317521
Random Forest regularizado,0.15749493117856916,0.4694042805187396,0.8496759514616657
XGBoost,0.1595056050584796,0.47412085268812354,0.8534289391432249
