Modelo,Accuracy média,Accuracy desvio,Precision média,Precision desvio,Recall médio,Recall desvio,F1 médio,F1 desvio,ROC AUC médio,ROC AUC desvio
Regressão Logística,0.8028741860215367,0.0037288015862227243,0.6540695616850309,0.014778777110179985,0.5481459436938277,0.018653238175838284,0.5960429482845068,0.008413674009632381,0.8431689212712115,0.003324447858177577
Random Forest,0.7881735501804037,0.006313536299776942,0.6345370824845128,0.020393463461511257,0.47829891077912023,0.009449558786021092,0.5452478265044655,0.009199363343717456,0.8227531000628779,0.009268670878592834
Random Forest regularizado,0.7614457680093389,0.012933936302469555,0.5357103076390294,0.017423877888372484,0.7671686209154218,0.020572612265088126,0.630737508939437,0.01668763776192541,0.8457803232420472,0.0056382882848641245
